trip_id,start_time,end_time,headway_secs,exact_times
37587,18:30:00,23:00:00,2580,0
39363,21:00:00,24:00:00,900,0
39308,05:00:00,24:00:00,420,0
39361,04:50:00,08:00:00,900,0
39316,06:00:00,24:00:00,660,0
39365,05:00:00,21:00:00,420,0
39364,05:00:00,21:00:00,420,0
39315,05:00:00,24:00:00,780,0
39314,05:00:00,24:00:00,780,0
37948,05:10:00,18:00:00,2460,0
37733,05:00:00,19:00:00,2340,0
37778,05:00:00,19:00:00,1860,0
37779,19:00:00,22:00:00,2940,0
37784,05:00:00,19:00:00,1860,0
37827,05:00:00,19:00:00,3000,0
37734,19:00:00,23:00:00,2400,0
37804,18:30:00,22:30:00,4020,0
37720,19:00:00,23:00:00,1080,0
37639,07:00:00,18:00:00,5400,0
37623,18:00:00,22:40:00,5400,0
37620,07:00:00,18:00:00,5400,0
37884,04:30:00,19:00:00,960,0
37669,19:00:00,23:00:00,900,0
37641,18:00:00,22:40:00,5400,0
37605,18:30:00,23:00:00,3240,0
38011,04:55:00,19:00:00,1980,0
37949,18:00:00,21:00:00,3900,0
37718,05:00:00,19:00:00,900,0
37922,04:40:00,19:00:00,840,0
38167,05:00:00,19:00:00,1380,0
37834,19:00:00,22:00:00,7140,0
37924,19:00:00,23:40:00,900,0
37848,05:00:00,19:00:00,3060,0
37821,05:30:00,18:30:00,2820,0
37816,18:30:00,22:30:00,5760,0
37822,18:30:00,22:30:00,5760,0
37833,05:00:00,19:00:00,3000,0
37828,19:00:00,22:00:00,7140,0
37809,05:22:00,18:30:00,2220,0
37815,05:30:00,18:30:00,2820,0
37810,18:30:00,22:30:00,4020,0
37766,05:00:00,19:00:00,1560,0
37767,19:00:00,22:00:00,1740,0
37772,05:00:00,19:00:00,1560,0
38168,19:00:00,22:00:00,1560,0
37754,18:30:00,22:00:00,3600,0
37791,19:00:00,23:00:00,3300,0
37760,04:40:00,18:30:00,2820,0
37761,18:30:00,22:00:00,3600,0
37748,19:00:00,23:00:00,2400,0
37842,19:00:00,22:00:00,3060,0
37753,04:40:00,18:30:00,2820,0
37790,05:00:00,19:00:00,2400,0
37885,19:00:00,24:40:00,960,0
37785,19:00:00,22:00:00,2940,0
38012,19:00:00,24:45:00,2160,0
37747,05:00:00,19:00:00,2340,0
37933,19:00:00,23:40:00,900,0
37993,18:00:00,20:00:00,2340,0
37960,05:30:00,18:30:00,2400,0
37867,18:30:00,22:15:00,1020,0
37866,05:25:00,18:30:00,960,0
37955,18:00:00,21:00:00,3900,0
39398,19:00:00,22:10:00,2040,0
37954,05:10:00,18:00:00,2460,0
37855,19:00:00,23:00:00,2100,0
37854,05:00:00,19:00:00,2100,0
37891,04:25:00,19:00:00,720,0
37841,05:00:00,19:00:00,3420,0
37803,05:22:00,18:30:00,2220,0
37798,19:00:00,23:00:00,3300,0
37797,05:00:00,23:00:00,2400,0
37849,19:00:00,22:00:00,3060,0
37873,18:30:00,22:15:00,1020,0
37900,19:00:00,25:00:00,780,0
37898,04:25:00,19:00:00,780,0
37872,05:25:00,18:30:00,960,0
38126,19:00:00,21:45:00,2400,0
38017,04:55:00,19:00:00,1980,0
38125,05:15:00,19:00:00,2400,0
37892,19:00:00,25:00:00,780,0
38054,19:00:00,22:35:00,1200,0
37932,04:40:00,19:00:00,840,0
37992,05:50:00,18:00:00,1620,0
37943,19:00:00,22:30:00,2640,0
38018,19:00:00,24:45:00,2160,0
37940,05:00:00,19:00:00,1800,0
37860,05:00:00,19:00:00,2100,0
37861,19:00:00,23:00:00,2100,0
38179,05:15:00,18:30:00,2940,0
37987,18:30:00,21:50:00,2520,0
37986,07:10:00,18:30:00,2220,0
38035,05:30:00,18:30:00,1800,0
38041,05:30:00,18:30:00,1800,0
38042,18:30:00,21:30:00,2100,0
38006,18:30:00,21:45:00,3600,0
38005,05:55:00,18:30:00,2280,0
37974,05:10:00,18:30:00,1620,0
38180,18:30:00,21:15:00,3360,0
38102,19:00:00,22:00:00,900,0
38101,05:00:00,19:00:00,900,0
38107,05:00:00,19:00:00,2100,0
38053,05:35:00,19:00:00,1080,0
38048,19:00:00,22:35:00,1080,0
38000,18:30:00,21:45:00,3600,0
38173,05:15:00,18:30:00,2940,0
37967,05:30:00,18:30:00,2400,0
37878,04:30:00,19:00:00,960,0
37879,19:00:00,24:40:00,960,0
38174,18:30:00,21:15:00,3360,0
38030,19:00:00,22:10:00,720,0
37968,18:30:00,20:20:00,3600,0
38023,05:10:00,19:00:00,660,0
37999,05:55:00,18:30:00,2280,0
37975,18:30:00,21:10:00,3000,0
38029,05:10:00,19:00:00,660,0
37961,18:30:00,20:20:00,3600,0
37980,07:10:00,18:30:00,2220,0
37981,18:30:00,21:50:00,2520,0
38096,19:00:00,22:00:00,900,0
38036,18:30:00,21:30:00,2100,0
38639,05:30:00,18:30:00,2280,0
38191,18:00:00,21:00:00,3180,0
38641,18:30:00,20:00:00,3180,0
38131,05:30:00,19:00:00,2400,0
38120,19:00:00,21:45:00,2400,0
