shape_id,shape_pt_sequence,shape_dist_traveled,shape_pt_lat,shape_pt_lon
36477,0,,19.49678,-99.11973
36477,1,,19.49855,-99.11939000000001
36477,2,,19.49869,-99.11926000000001
36477,3,,19.49872,-99.11911
36477,4,,19.498659999999997,-99.11895000000001
36477,5,,19.498419999999996,-99.11890000000001
36477,6,,19.498049999999996,-99.11900000000001
36477,7,,19.494969999999995,-99.11976000000001
36477,8,,19.493209999999994,-99.12011000000001
36477,9,,19.491619999999994,-99.12064000000001
36477,10,,19.490159999999992,-99.12141000000001
36477,11,,19.48643999999999,-99.12451000000001
36477,12,,19.482469999999992,-99.12774000000002
36477,13,,19.479539999999993,-99.13020000000002
36477,14,,19.478049999999993,-99.13146000000002
36477,15,,19.475229999999993,-99.13373000000001
36477,16,,19.473739999999992,-99.13491000000002
36477,17,,19.46887999999999,-99.13890000000002
36477,18,,19.46681999999999,-99.14058000000001
36477,19,,19.46625999999999,-99.14116000000001
36477,20,,19.46545999999999,-99.14198000000002
36477,21,,19.46398999999999,-99.14312000000002
36477,22,,19.46244999999999,-99.14419000000002
36477,23,,19.45963999999999,-99.14648000000003
36477,24,,19.45815999999999,-99.14747000000003
36477,25,,19.456879999999988,-99.14915000000002
36477,26,,19.455889999999986,-99.15068000000002
36477,27,,19.455199999999987,-99.15151000000002
36477,28,,19.454819999999987,-99.15166000000002
36477,29,,19.453319999999987,-99.15195000000003
36477,30,,19.446919999999988,-99.15316000000003
36477,31,,19.446369999999987,-99.15325000000003
36477,32,,19.445849999999986,-99.15339000000003
36477,33,,19.444389999999984,-99.15399000000004
36477,34,,19.443049999999985,-99.15453000000004
36477,35,,19.442079999999986,-99.15474000000003
36477,36,,19.440399999999986,-99.15546000000003
36477,37,,19.436179999999986,-99.15727000000004
36477,38,,19.434619999999985,-99.15797000000003
36477,39,,19.432969999999983,-99.15871000000003
36477,40,,19.430369999999982,-99.15995000000002
36477,41,,19.427799999999984,-99.16116000000002
36477,42,,19.425799999999985,-99.16205000000002
36477,43,,19.424269999999986,-99.16275000000002
36477,44,,19.424159999999986,-99.16332000000001
36477,45,,19.423999999999985,-99.16352000000002
36477,46,,19.423619999999985,-99.16361000000002
36477,47,,19.423339999999985,-99.16346000000001
36477,48,,19.423069999999985,-99.16317000000001
36477,49,,19.419899999999984,-99.16404000000001
36477,50,,19.418539999999986,-99.16452000000001
36477,51,,19.416859999999986,-99.165
36477,52,,19.413139999999984,-99.16621
36477,53,,19.409689999999983,-99.16732
36477,54,,19.408089999999984,-99.16784
36477,55,,19.406439999999982,-99.16834
36477,56,,19.403539999999982,-99.16936
36477,57,,19.40065999999998,-99.17025
36477,58,,19.39924999999998,-99.17072
36477,59,,19.39783999999998,-99.1712
36477,60,,19.39364999999998,-99.17256
36477,61,,19.38988999999998,-99.1738
36477,62,,19.38768999999998,-99.17449
36477,63,,19.38544999999998,-99.1752
36477,64,,19.382609999999982,-99.17619
36477,65,,19.379319999999982,-99.17725
36477,66,,19.37426999999998,-99.17886
36477,67,,19.371699999999983,-99.17969
36477,68,,19.370369999999983,-99.18014
36477,69,,19.369059999999983,-99.18056999999999
36477,70,,19.367029999999982,-99.18121999999998
36477,71,,19.36500999999998,-99.18187999999998
36477,72,,19.36346999999998,-99.18237999999998
36477,73,,19.361959999999982,-99.18283999999998
36477,74,,19.358359999999983,-99.18403999999998
36477,75,,19.354699999999983,-99.18523999999998
36477,76,,19.352909999999984,-99.18579999999997
36477,77,,19.350969999999982,-99.18642999999997
36477,78,,19.348899999999983,-99.18711999999998
36477,79,,19.34685999999998,-99.18791999999998
36477,80,,19.34088999999998,-99.19001999999998
36477,81,,19.33989999999998,-99.19044999999997
36477,82,,19.338899999999978,-99.19045999999997
36477,83,,19.335439999999977,-99.19001999999998
36477,84,,19.331259999999975,-99.18962999999998
36477,85,,19.327019999999976,-99.18898999999998
36477,86,,19.322799999999976,-99.18848999999997
36477,87,,19.318699999999975,-99.18800999999998
36477,88,,19.314619999999977,-99.18748999999998
36477,89,,19.309539999999977,-99.18686999999998
36477,90,,19.306979999999978,-99.18652999999999
36477,91,,19.30443999999998,-99.18620999999999
36477,92,,19.299299999999977,-99.1856
36477,93,,19.297599999999978,-99.18543
36477,94,,19.29673999999998,-99.1853
36477,95,,19.29634999999998,-99.18522
36477,96,,19.29614999999998,-99.18516
36477,97,,19.29593999999998,-99.18503
36477,98,,19.29567999999998,-99.18478
36477,99,,19.29549999999998,-99.1845
36477,100,,19.294879999999978,-99.18324
36477,101,,19.294149999999977,-99.18124999999999
36477,102,,19.292499999999976,-99.17739999999999
36477,103,,19.291539999999976,-99.17515999999999
36477,104,,19.291179999999976,-99.17428999999998
36477,105,,19.290839999999974,-99.17391999999998
36477,106,,19.290579999999974,-99.17378999999998
36477,107,,19.290359999999975,-99.17376999999998
36477,108,,19.289609999999975,-99.17404999999998
36477,109,,19.288379999999975,-99.17454999999998
36477,110,,19.286659999999976,-99.17519999999998
36477,111,,19.284939999999978,-99.17575999999997
36477,112,,19.283759999999976,-99.17559999999997
36477,113,,19.283059999999978,-99.17523999999997
36477,114,,19.28247999999998,-99.17470999999998
36477,115,,19.281829999999978,-99.17356999999997
36477,116,,19.281299999999977,-99.17240999999997
36477,117,,19.280359999999977,-99.17009999999998
36477,118,,19.27984999999998,-99.16902999999998
36477,119,,19.27927999999998,-99.16798999999997
36477,120,,19.278949999999977,-99.16784999999997
36477,121,,19.278709999999975,-99.16809999999997
36477,122,,19.278489999999977,-99.16874999999996
36477,123,,19.278669999999977,-99.16910999999996
